project,source,content,score,comments,"technical update, 
accidents, 
team and partnership update, 
changes in tokenomics, 
whale movement, 
regulation related to crypto industry
Roadmap Updates
Adoption Metrics
External Audits
Competitor Movements
Token Listings
Legal & Lawsuits"
Render Network,Discord,"Announcing Request For Compute and a Creator Spotlight on Jakub Malec AKA Sergeposters in this week's BTN. 

https://medium.com/rendernetwork/render-network-request-for-compute-btn-friday-june-16th-2023-603194f6e434",0,nothing special,
Render Network,Discord,"Alright the latest edition of ""BTN"" is out! It explores important Render Network technologies that will make mixed reality available and widely distributed, paving the way for the emerging age of spatial computing, following the recent unveil of Apple’s Vision Pro. Don’t miss this one! 🔥

https://medium.com/render-token/the-future-of-the-spatial-web-a-look-at-the-vision-pro-and-holographic-mixed-reality-powered-by-728936dc75db",1,new product and functions,
Render Network,Discord,"New BTN is out! It outlines the new website, whitepaper, and artist spotlight. https://medium.com/render-token/render-network-foundation-updates-in-depth-new-website-whitepaper-roadmap-btn-may-25th-2023-7dd472c5c923",1,new product and functions,
Render Network,Discord,V4.0 of the Whitepaper is out today. Download it here:  https://renderfoundation.com/whitepaper,1,new product and functions,
Render Network,Discord,New BTN! https://medium.com/render-token/render-network-foundation-website-released-machina-infinitum-and-gnomma-creator-3145d8695154,1,new product and functions,
Render Network,Discord,"New Behind the Network with an amazing artist spotlight, GTC conference. https://medium.com/render-token/creator-spotlight-hannes-hummel-friday-may-12th-btn-b4b68097202f",1,new product and functions,
Render Network,Discord,New Behind the Network post with a bunch of updates and stats. https://medium.com/render-token/q4-2022-q1-2023-metrics-update-monday-may-1st-2023-btn-d89acb2eb2f6,1,new product and functions,
Render Network,Discord,https://medium.com/render-token/rnp-002-and-rnp-003-final-snapshot-vote-results-db5acc542d47,1,new product and functions,
Render Network,Discord,"RNP-002:
The Layer 1 Network Expansion proposal (RNP-002) has received 67% community approval. Final Snapshot votes are now live!

⚡️Cast your votes here: https://snapshot.org/#/rndrnetwork.eth/proposal/0x69b148817ffe354d7351f069f75b80c68545109a30761f5dcacc4a5e462719d3

RNP-003:
The Resource Acquisition and Allocation for Core Team and Grants proposal has received 61% community approval. The Render Network Team and Foundation has also approved the proposal. Final Snapshot votes are now live!

⚡️Cast your votes here: https://snapshot.org/#/rndrnetwork.eth/proposal/0x9bb5a5f54c8e926ec7ef7804765c0ad2025b4b3e7f0968bef9105a9e0b87ffe7

Here’s a guide to using Snapshot in the RNP Process:
https://medium.com/render-token/behind-the-network-july-8th-2022-c99495eba8e",1,Adoption metrics,
Render Network,Discord,"New blog post: Growing the Render Network Community though RNP-003: Resource Acquisition and Allocation for Core Team and Grants

https://medium.com/render-token/growing-the-render-network-community-though-rnp-003-resource-acquisition-and-allocation-for-core-ef9b3efd422b",1,Adoption metrics,
Render Network,Discord,"Voting for ⁠rnp-002 and ⁠rnp-003 is now open for 72 hours. 

https://medium.com/render-token/rnp-002-and-rnp-003-community-snapshot-voting-is-live-26e08da22fad",1,technical update,
Render Network,Discord,"Forgot to post this to this channel but ⁠rnp-003 is open for opening up the discussion for RNP-003: Resource Acquisition and Allocation for Core Team and Grants. This is the first RNP in the Ecosystem Fund Allocation category. 

https://medium.com/render-token/rnp-003-resource-acquisition-and-allocation-for-core-team-and-grants-e9c3e0015efb

https://github.com/rndr-network/RNPs/blob/main/In%20Review/RNP-003.md",1,team and tokenomics,
APTOS Network,Twitter,"1/5 Aptos isn’t waiting for a sustainable future in blockchain–it’s actively building it. Aptos Foundation and @weareflowcarbon have partnered for a new program designed to deliver high-quality carbon removal credits issued and retired natively on Aptos.

Let’s dive in👇
https://aptosfoundation.org/currents/aptos-foundation-flowcarbon-partner-for-sustainable-carbon-credits-and-tracking",1,partnership,
APTOS Network,Twitter,"We’ve been notified the Thala Labs X account has been compromised. Please do not engage with the account at this time. 

This Aptos Network account will update once the issue has been resolved.

The Thala X account is now restored. https://twitter.com/ThalaLabs/status/1703957193463382103",1,accidents,
APTOS Network,Twitter,"1/4 Aptos Move is on Visual Studio Code!

Supercharge your Move development with the Aptos Move Analyzer plugin. Experience the unparalleled speed, efficiency, and developer-friendly environment that VS Code can provide.  https://marketplace.visualstudio.com/items?itemName=MoveBit.aptos-move-analyzer",1,new product and functions,
APTOS Network,Twitter,"The Aptos ecosystem has been building non-stop!

Reflecting on recent wins, @austinvirts from  @AptosLabs gets to the heart of it: the dedicated Aptos community brought the summer heat wave. 🔥

To unlock more network potential, listen to the full AMA here: https://twitter.com/i/spaces/1YpJkgByPaZJj?s=20",0,marketing,
APTOS Network,Twitter,"100’s of hackers. 3 major events.
Celebrating 1 united Aptos community and the future of Web3! 💪
From hackathon creativity at #AptosWorldTour to industry-leading innovation showcased at #Token2049, let's recap Aptos in Singapore ",1,Adoption metrics,
APTOS Network,Twitter,"📣 Calling all devs! You can now use @magic_labs when building on Aptos.

Magic = a seamless way to spin up login, token management, and more in your apps.

Let’s keep building 🦾

Learn more: https://magic.link/posts/magic-aptos-integration
",0,marketing,
APTOS Network,Twitter,"Join @AptosFrance today, Thursday Sept 14 at 10:00am GMT, for an exciting discussion with @PythNetwork about oracles and their importance in the world of crypto.

Join the Space and complete the Galxe campaign to claim your Aptos France community OAT 👇
https://galxe.com/aptos/campaign/GCVhrUPVWV
",0,marketing,
APTOS Network,Twitter,"1/12 
100’s of hackers. 3 major events.
Celebrating 1 united Aptos community and the future of Web3! 💪
From hackathon creativity at #AptosWorldTour to industry-leading innovation showcased at #Token2049, let's recap Aptos in Singapore 

Hackaton summary: https://twitter.com/Aptos_Network/status/1702179543606579654",1,Adoption metrics,
APTOS Network,Twitter,"🛠️ Countless hours dedicated.
🤝 Endless memories made.
🙌 That’s a wrap on Aptos Hack Singapore! 
Thank you to all the builders, partners, and sponsors who made this round of the #AptosWorldTour so phenomenal.
Ready to relive the magic? Stay tuned for the recap 👀",0,marketing,
APTOS Network,Twitter,"1/10 With another loaded, innovation-filled month, let’s recap what the engineers have been up to on Aptos Release V1.6 and beyond.
https://twitter.com/Aptos_Network/status/1702019505789223326",1,new product and functions,
APTOS Network,Twitter,"1/ Aptos Summer isn't over yet 😎☀️
📰 Microsoft partnership news took over the headlines, and the entire ecosystem scored big wins—from the endless expansion of gaming in Korea to global blockbuster festivals and events.
Let’s celebrate last month on Aptos! ",1,partnership,
APTOS Network,Twitter,"🤩 Scenes from the Singapore hackathon! #AptosWorldTour

From @SushiSwap breaking news, to innovative hacker sessions, to even more surprises (🤫) from friends at @VisaNews, Hack Singapore is off to an incredible start.

Stay tuned for what Day 3 has in store 👀",1,partnership,
APTOS Network,Twitter,"1/17 Aptos Summer isn't over yet 😎☀️

📰 Microsoft partnership news took over the headlines, and the entire ecosystem scored big wins—from the endless expansion of gaming in Korea to global blockbuster festivals and events.

Let’s celebrate last month on Aptos! 
https://twitter.com/Aptos_Network/status/1701704478368661712",1,partnership,
APTOS Network,Twitter,"Welcome to Aptos, 
@SushiSwap!
#SushiRollsWithAptos",1,partnership,
APTOS Network,Twitter,"Big announcement from the #AptosWorldTour stage!

ICYMI – @SushiSwap and Aptos joined forces at Hack Singapore to share that Sushi will soon expand to Aptos, making Aptos their first non-EVM chain 💪🌐

Our teams are thrilled for what’s next. Learn more ⤵️
https://aptosfoundation.org/currents/aptos-sushi-unlocking-interoperability",1,partnership,
APTOS Network,Twitter,"All smiles for the road ahead! 💪 #SushiRollsWithAptos

Love to see the magic happen at Hack Singapore.",0,marketing,
APTOS Network,Twitter,"1/ @SushiSwap is MOVE-ing up to a greater cross-chain experience with Aptos. #SushiRollsWithAptos
Sushi, the leading multi-chain DEX, will soon expand to Aptos, their first non-EVM chain.
Learn more 
https://aptosfoundation.org/currents/aptos-sushi-unlocking-interoperability",1,partnership,
APTOS Network,Twitter,"Let the games begin. #AptosWorldTour
Thank you to our #AptosWorldTour Hack Singapore sponsors! 💙
@jump_
@GSR_io
@Visa
@Alibaba_cloud
@googlecloud",0,marketing,
APTOS Network,Twitter,"⚙️ We're proud to debut “Web3 x AI: Hacking the Future of Content Creation” with @googlecloud at Hack Singapore!

The intersection of AI and Web3 is an exciting frontier for content creators and builders alike.

Tap in to inspire your boldest ideas yet 👇
https://aptoslabs.notion.site/Hack-Singapore-2023-Project-Ideas-c16b988180484272b68e615e6e3d8218
",0,marketing,
APTOS Network,Twitter,"🕺🌐 Let the good times roll at Day 2 of MicroSeoul: SEOULBOUND—the official #KBW2023 closing event.
Get 20% off your Day 2 Sunday general admission ticket with code ZKLB96PP 🎟️⤵️
https://microseoul.kydlabs.com/e/EV6d490e82-3c27-483f-878c-1ee73dded7fb?ref=shortlink
",0,marketing,
APTOS Network,Discord,"@everyone Aptos Foundation & Flowcarbon Partner for Sustainable Credits and Tracking Program :aptos_white: 


➡️ Aptos isn’t waiting for a sustainable future in blockchain–it’s actively building it. Aptos Foundation and Flowcarbon have partnered for a new program designed to deliver high-quality carbon removal credits issued and retired natively on Aptos.

➡️ This partnership ensures that Aptos Foundation will adopt the best practices in sustainability, ensuring that its carbon offsets are tracked on the Aptos network.

Partnering with Flowcarbon is the first step for Aptos Foundation's sustainable road ahead. 

Read more about the Aptos Foundation and Flowcarbon Partnership ⤵️
https://aptosfoundation.org/currents/aptos-foundation-flowcarbon-partner-for-sustainable-carbon-credits-and-tracking",1,partnership,
APTOS Network,Discord,"@everyone Aptos Move is on Visual Studio Code! :aptos_white: 

✨ Supercharge your Move development with the Aptos Move Analyzer plugin. Experience the unparalleled speed, efficiency, and developer-friendly environment that VS Code can provide. 💻

✨ Enjoy robust features like Go to Definition, Go to Type Definition, Hover, Autocomplete, and comprehensive identifier support for error-free, efficient coding. 

Ready to try it out? Download the Aptos Move Analyzer Visual Studio plug in today. 👇
https://marketplace.visualstudio.com/items?itemName=MoveBit.aptos-move-analyzer

Learn more about Move on VS Code ⤵️
https://twitter.com/Aptos_Network/status/1702832213111496758?t=WfPNp9wIfyONluNibmFPAw&s=19",1,new product and functions,
APTOS Network,Discord,"@everyone Celebrating 1 united Aptos community and the future of Web3! :aptos_white: 

➡️ What an incredible week in Singapore! 100’s of hackers. 3 major events.

➡️ Hack Singapore welcomed 100's of builders, tasked with exploring various tracks. 

From hackathon creativity at Aptos World Tour to industry-leading innovation showcased at #Token2049 , let's recap Aptos in Singapore 🇸🇬⤵️
https://twitter.com/Aptos_Network/status/1702179543606579654?t=0QerNhST6Z-FdB7N3690QQ&s=19",0,marketing,
APTOS Network,Discord,"@everyone Aptos Summer isn't over yet 😎☀️

➡️ Microsoft partnership news took over the headlines, and the entire ecosystem scored big wins—from the endless expansion of gaming in Korea to global blockbuster festivals and events.

➡️ This round up is just a glimpse at all the incredible Aptos ecosystem wins last month. We invite the Aptos community to join the fun! :aptos_white: 

Just a few weeks left until Aptos Autumn… stay tuned. 👀


Check out the thread below for  more details ⬇️
https://twitter.com/Aptos_Network/status/1701704478368661712?t=hU3JJCe3Xr-9MdwygGOeFw&s=19",1,partnership,
APTOS Network,Discord,"@everyone Sushi is MOVE-ing up to a greater cross-chain experience with Aptos. 🍣

Sushi, the leading multi-chain DEX, will soon expand to Aptos, their first non-EVM chain.

Two major Sushi products, Sushi v2 AMM and SushiXswap, will be seamlessly integrated onto the Aptos network. As Sushi’s first non-EVM network, Aptos is excited about  Sushi’s efforts for cross-chain and multi-chain prominence. 🌐

We’re excited about this development — and it's just the beginning. Aptos is committed to effortless Web3 onboarding and empowering people with smarter solutions.

This is another step forward in that mission. #SushiRollsWithAptos

Learn more ⬇️ 
https://aptosfoundation.org/currents/aptos-sushi-unlocking-interoperability",1,partnership,
APTOS Network,Discord,"@everyone  Notice of Upcoming Internal Token Migration 

Please be advised that this Friday (8th September) for approximately 24hrs, some amount of tokens belonging to the Aptos Foundation will be temporarily unstaked as part of an internal token migration.

This is routine and not indicative of any changes in the Aptos ecosystem. It will not affect ordinary token holders. Additional updates will be provided here, where we will confirm once the migration is complete.
======
Update Sept 11, 2023: Please note that our brief and routine custody migration has concluded. All Aptos tokens are officially re-staked, and all validators are running as usual. Thanks to our users for their patience – now, let’s keep building",1,technical update,
APTOS Network,Discord,"@everyone Aptos vibes are taking over Korea Blockchain Week! 🇰🇷

➡️ Join us at #KBW2023 as we host talks, Power Play Night, breakfast, Aptos Night, and more.

➡️ Get moving with Aptos and connect with blockchain experts from around the world. 🌐

Check out the thread below for all the details! ⤵️
https://twitter.com/Aptos_Network/status/1698870433058336952?t=_n8sI8TtFkm9I7Zj614I7A&s=19",0,marketing,
APTOS Network,Discord,"@everyone Celebrate Aptos Summer with the Aptos Summer Challenge! 🏖️ 

What an incredible few months of amazing Aptos wins! All summer long, it’s been slam dunk after slam dunk: we welcomed Microsoft to the ecosystem, launched The Registry fund, became the exclusive ticketing network for thousands of guests at WonderBus Music and Arts Festival, and even more projects launched on mainnet… just to name a few!

This Aptos Summer Challenge is a fun way to dive deeper into the Aptos ecosystem, connect with the community, and keep the Aptos vibes fired up! 🔥

To participate, head to the Aptos Galxe page and get started. Complete the tasks and earn an exclusive OAT!⤵️ 
https://galxe.com/aptos/campaign/GCAoZUrZkh

BONUS: Complete by September 6 for a chance to win 1 of 50 limited edition Aptos Summer Swag Packs. 🧢 👕",1,partnership,
APTOS Network,Discord,"@everyone Aptos is powering the Lotte Group’s Web3 ecosystem expansion! :pepeaptos: 

➡️  Lotte Group, the largest retail conglomerate in Korea, has partnered with Aptos to expand its business footprint in the Web3 industry, starting with their marketing and Web3 business hub Daehong Communications.

➡️  The cornerstone of this partnership is Aptos’ collaboration with Daehong Communications’ brand new Bellyland universe, the latest in their Bellygom NFT ecosystem.

We’re ready to unlock a deeper, more rewarding gaming experience in Bellyland and Bellygom’s expanding universe! Learn more ⤵️ 
https://twitter.com/Aptos_Network/status/1695239670857355305?s=20",1,partnership,
APTOS Network,Discord,"@everyone Big Day for Aptos Gaming! 🎮

✨ MARBLEX (part of Netmarble, one of the largest game developers and publishers in Korea), has teamed up with the Aptos Foundation to develop the MARBLEX WARP Bridge and integrate their multichain gaming universe with Aptos. :aptos_white: 

✨ The MARBLEX WARP Bridge will seamlessly integrate MBX games and services within the Aptos network. MARBLEX's focus on immersive web3-powered gaming, combined with Aptos tech, will push UX boundaries globally. 🌐

Check out the thread below to learn more about the Aptos x MARBLEX Partnership ⤵️
https://twitter.com/Aptos_Network/status/1694866503617896933?t=vPcT_9rpxFBF45ZgvelFHA&s=19",1,partnership,
APTOS Network,Discord,"@everyone 🔥 Introducing Aptos Digital Asset Standard (DA) 🔥

🛠 Aptos DA: Superior flexibility, composability & scalability in blockchain, offering builders unrivaled tools to work with.

🚀 Legacy Limits: TokenV1 lacked adaptability. SPL had interop issues. ERC721 was slow. DA addresses these.

🌍 Practical Use: real world applicability, soul binding of tokens & top performance.

🎨 For the Community: Easy management, better UX, and composable NFTs.

🖼 NFT Ready: Standardized, adaptive framework with safety & compliance.

📘 Dive In: Explore our guide for more on Aptos DA's Web3 capabilities. 🔗

https://twitter.com/Aptos_Network/status/1694101620563542149",0,marketing,
APTOS Network,Discord,"@everyone Things are heating up for Aptos Summer! 🏖️

✨ Get in on the action with an exciting ecosystem AMA tomorrow, on Monday, Aug 21st. 🗓️

✨ Chat with builders and leaders from Aptos Labs, KYD Labs, Econia Labs, Wapal, and more. :aptos_white: 

Don't forget to set a reminder and Tune in for surprises 👇
https://x.com/i/spaces/1YpJkgByPaZJj",0,marketing,
APTOS Network,Discord,"@everyone The Gaming Realm is About to Shift! 🎮 

The Aptos Foundation has teamed up with Korean gaming superstars NEOWIZ and Intella X. :pepeaptos: 

➡️ Together, we’re committed to:
Expanding the Intella X ecosystem
Welcoming NEOWIZ and Intella X into the Aptos ecosystem
Growing the Web3 gaming ecosystem

 Let’s unpack what’s in store for Aptos gaming ⤵️
https://twitter.com/Aptos_Network/status/1692325469692240252?t=6wzpvvjyzOFJtQJsSBGE8Q&s=19",1,partnership,
APTOS Network,Discord,"@everyone Welcome Microsoft to the Aptos ecosystem!  :pepeaptos: 

This isn’t just a partnership, it’s a huge step forward for Web3 as the powers of blockchain and AI unite 🤝

Check out the Aptos Labs thread to learn all about how Aptos Labs and Microsoft have joined forces to build a future suite of AI-supported tools to help make Web3 more accessible to all.

https://twitter.com/AptosLabs/status/1689261166663766016",1,partnership,
APTOS Network,Discord,"@everyone The first big Aptos Turkiye AMA is coming soon! 🇹🇷 👀

Join us August 16th, 9 PM (GMT+3) as we discuss exciting Aptos news with host BeInCrypto Turkiye and Move and ecosystem builders from Aptos Labs and beyond! :aptos_white: 

To celebrate this inaugural Aptos Turkiye Space, we’re hosting a Galxe campaign:
Tune in on August 16th to get one step closer to earning an Aptos reward! Complete the Galxe tasks and earn a commemorative Aptos Turkey NFT.

For more info and T&C about Galxe Campaign ⬇️
https://galxe.com/aptos/campaign/GC22QU72pN

Don't forget to set a Reminder ⤵️
https://twitter.com/i/spaces/1ZkKzXjAYbaJv",0,marketing,
APTOS Network,Discord,"@everyone Recap: Aptos Top Moments for July 2023 :aptos_white: 

July was a home run for Aptos with big wins in gaming, social, infrastructure, and much more. At meet-ups around the world we celebrated growth and innovation with community members like you.

Ready for more? Dive into it with us on Twitter 👇🧵
https://twitter.com/Aptos_Network/status/1687086068955492353",0,marketing,
APTOS Network,Discord,"@everyone  The Aptos x Outlier Ventures Move Accelerator is off to the races! :aptos_white: 

The 12-week program began on July 10th — with eight exciting projects ready to transform the future of Web3 on Aptos. :pepeaptos: 

To learn more about this collaboration between Aptos and Outlier, check out:
https://outlierventures.io/base-camp/aptos/

Check out the Tweet below to meet this Year’s Cohort:
https://twitter.com/OVioHQ/status/1686735537795674113 
",0,marketing,
APTOS Network,Discord,"@everyone Get ready for Hack Singapore 2023 🇸🇬  :pepeaptos: 

The Aptos Foundation is excited to host our next major global Aptos hackathon in Singapore. 

Participants will code, design, network, and demo their innovative ideas with a community of Web3's best builders. No hackathon is complete without a party to close out the festivities!  :bouncy:

Date: September 11-13, 2023
Location: Singapore

Apply now for Hack Singapore - Aptos' three-day hackathon happening in the heart of Singapore! ⤵️ 
https://tu1213ngepx.typeform.com/Hack-Singapore

Learn more about Hack Singapore 2023 ⤵️ 
https://aptosfoundation.org/events/singapore-hackathon-2023",0,marketing,
APTOS Network,Discord,"@everyone Stay up to date with everything happening at Aptos Labs and win exclusives prizes! :1002238359365767268: 

The Aptos Labs team is made of many individuals credited with developing the technical innovations that power the Aptos blockchain—including the original creators of the Move language, Move Prover, the BlockSTM parallel execution engine, and Narwhal and Bullshark consensus mechanisms (just to name a few)!

We invite you to follow members of the Labs team so you can stay up to date on everything Aptos from the folks who know it best. For doing so, you'll be able to earn an Aptos Labs NFT plus a chance to win one of ten Aptos Labs swag packs.

Participating is easy

EARN AN APTOS LAB NFT: Follow every team member in this Galxe challenge and earn Aptos Labs' latest OAT!

BONUS PRIZE: Complete the challenge by August 3 for your chance to win 1 of 10 new Aptos Labs swag packs.

To participate, simply head on over to the Aptos Labs Galxe page and complete the campaign 👇
https://galxe.com/aptoslabs/campaign/GCa1NU4Gha 
",0,marketing,
APTOS Network,Discord,"@everyone Aptos Summer is heating up and we want your ideas for new swag items! ☀️ 🏖️

It's time to ditch the hoodies and dress appropriately this Aptos Summer. Tell us what kinds of swag items you'd be most excited to wear or use! It can be anything from clothing to tech gear like chargers, or even mugs and water bottles. 

Get creative and head on over to Twitter to tell us what you'd be most excited to see. You can also share your suggestions right here on Discord in the ⁠💬・general channel. 

https://twitter.com/Aptos_Network/status/1684319295852142592",0,marketing,
Stargate Finance,Twitter,"Looking to provide liquidity on Stargate but unsure which pools to choose?

@Mozaic_Fi
's Hercules Vault leverages AI, LayerZero messaging and bridging through Stargate to ensure you're always getting the most attractive return for your LP.

Check our their information below 👇
https://twitter.com/Mozaic_Fi/status/1699515429461659857",0,marketing,
Stargate Finance,Twitter,"Looking to migrate your $swETH to new pools?

You can now bridge your $swETH OFT between Ethereum and Arbitrum through Stargate at https://stargate.finance/transfer
",0,marketing,
Stargate Finance,Twitter,"Following the DAO vote regarding the $ARB token allocation, Stargate will be migrating it's farm contract on Arbitrum on Monday 11th September at 9:30AM PST (12:30PM EST, 16:30PM UTC).
Users will be able to migrate their LP tokens into the new farm at https://stargate.finance/farm

Protocols built on top of Stargate farms should note the following address changes (on Arbitrum only):

LPStaking.sol (old) - 0xeA8DfEE1898a7e0a59f7527F076106d7e44c2176
LPStakingTime.sol (new from Monday) - 0x9774558534036Ff2E236331546691b4eB70594b1

You can read the proposal here: https://snapshot.org/#/stgdao.eth/proposal/0x108a9e597560c4f249cd8be23acd409059fcd17bb2290d69a550ac2232676e7d

",1,technical update,
Stargate Finance,Twitter,"Stargate is excited to announce its deployment to a new chain: @KAVA_CHAIN!
You can now access native USDT on Kava!
Bridge to and from all of the supported networks below at: https://stargate.finance/transfer
Protocols built on top of Stargate are also now able to provide single-click cross-chain experiences into and out of Kava.

Looking to build on top of Stargate?

Check out the documentation below: https://stargateprotocol.gitbook.io/stargate/",1,technical update,
Stargate Finance,Twitter,"Stargate is excited to announce its deployment to yet another new ecosystem: @LineaBuild!

You can now access ETH liquidity on Linea mainnet!

Bridge to and from all the support networks below at: https://stargate.finance/transfer
",1,technical update,
Stargate Finance,Twitter,"Excited to see that @Galxe has chosen Stargate to be a part of their educational Mission Web3 program!

If you're newer to crypto, or want a refresh on what Stargate can offer, check out the campaign below 👇
https://twitter.com/Galxe/status/1692165753276186980",1,partnership,
Stargate Finance,Twitter,"Looking to bridge into Optimism? 👀 @taho_xyz are running an exciting quest for their wallet users who use Stargate to bridge into Optimism over the next two weeks 🔴

Check out their Galxe quest below 👇 
https://twitter.com/taho_xyz/status/1691827949417140321",1,new product and functions,
Stargate Finance,Twitter,"Stargate is excited to announce it's deployment to a new ecosystem: @BuildOnBase🔵

You can now be one of the first to access $USDC and $ETH liquidity on Base Mainnet!

Bridge to and from all of the supported networks below at: https://stargate.finance/transfer
",1,technical update,
Stargate Finance,Twitter,"Integration fresh out of the box! 🔥

Built by @decentxyz, The Box 🟪 leverages Stargate's composability to allow one-click cross-chain checkouts on your NFT purchases!

The future is omnichain.",1,new product and functions,
Stargate Finance,Twitter,"Bridging of @mavprotocol's $MAV token is now available on Stargate, following it's launch as an OFT!

Move your $MAV between Ethereum, BNB chain and zkSync Era at https://stargate.finance/transfer
",1,new product and functions,
Stargate Finance,Twitter,"The Stargate USDC pool on Fantom is now enabled and STG rewards for liquidity are live.
You can now, once again, transfer USDC between Fantom, Ethereum, BNB Chain, Avalanche, Polygon, Arbitrum and Optimism at
https://stargate.finance/transfer",1,new product and functions,
Stargate Finance,Twitter,Stargate's STG/USDC LP is now live on @SpookySwap using the @LayerZero_Labs supported USDC. You can now once again swap STG with ease on Fantom,1,new product and functions,
Stargate Finance,Twitter,"Today @LayerZero_Labsannounced the launch of four new assets into the Fantom ecosystem; $USDC, $USDT, $wETH and $wBTC.

These assets are available for bridging between Ethereum and Fantom on Stargate⚡
As a reminder, any projects looking to simplify their users' bridging experience into Fantom can utilise the Stargate Widget, which now also supports the bridging of the above assets: https://stargate.finance/widget
",1,new product and functions,
Stargate Finance,Twitter,"You can now connect to Stargate using the OKX wallet 👝

The OKX wallet's native DEX has also launched cross-chain swaps, allowing you to swap and bridge in one-click routing through Stargate!",1,new product and functions,
Stargate Finance,Twitter,"$JOE has a third home - BNB Chain 🌟

Join the quest below to find out what going Omnichain with Stargate can offer 👇
https://twitter.com/layer3xyz/status/1667163135411625988",0,nothing special,
Stargate Finance,Twitter,"$USDD pools are now live on Stargate. You can bridge $USDD between Ethereum and BNB Chain at https://stargate.finance/transfer
Keep an eye out for future quests related to $USDD 👀
https://stargate.finance/transfer",1,new product and functions,
Stargate Finance,Twitter,"
@MIM_Spell have launched their omni-stable by making $MIM an OFT!
This means you can now move your $MIM across 7 different chains, further expanding the choice of assets for Stargate users.
Bridge your $MIM cross-chain at https://stargate.finance/transfer
",1,Adoption metrics,
Stargate Finance,Twitter,"Reminder that the Fantom USDC pool has now been disabled.  Any remaining LPs should continue to withdraw their liquidity from the pool.
You can see the proposal here: https://snapshot.org/#/stgdao.eth/proposal/0xe485f7c2bb4f7843d4ce353ae82f19dcf017e70e917bad28f70ff8b231b57deb
Stargate continues to support Fantom as an ecosystem. You can still bridge your $STG, $WOO and all OFTs to and from Fantom.

Per the mandate, the DAO will continue to explore additional assets to be added in future.

",1,accidents,
Stargate Finance,Twitter,"Following the recent DAO vote, Stargate is winding down the Fantom pool.
Users will no longer be able to transfer USDC to or from Fantom on Stargate, effective immediately.
Users who have provided liquidity on Fantom are still able to withdraw their USDC on Fantom and should do so.
Emissions on this pool have been set to 0, and it has been disconnected from all other pools on Stargate.
Pathweights to and from Fantom have also been set to 0.
As mandated by the proposal, Stargate has removed any POL from the Fantom pool and deposited this into the Ethereum USDC pool.
Please note that this proposal does not affect the transfer of OFTs.
You can read the proposal that was passed here: https://snapshot.org/#/stgdao.eth/proposal/0xe485f7c2bb4f7843d4ce353ae82f19dcf017e70e917bad28f70ff8b231b57deb
",1,accidents,
Stargate Finance,Twitter,"
@guildxyz have launched Pins, which allow you to show your early support for the Stargate community - one of the largest guilds out there! 

You can mint your Pins at https://guild.xyz/stargate",0,marketing,
Stargate Finance,Discord,"@everyone 

📜 A new proposal has been posted to Snapshot regarding changing Stargate's LayerZero Oracle Configuration. 

🖨️ Vote on Snapshot:
Stargate New Oracle Configuration: Google Cloud Oracle
https://snapshot.org/#/stgdao.eth/proposal/0x13e489cc2b60e4b57876266b70e15d77d6ac86a23817dffba26043e69e3bf91e

The proposal will be live until Saturday, September 23, 2023 4:35 AM. 

👁️ Check out the discussions around the proposal in ⁠Stargate New Oracle Config: Goo… and feel free to ask questions! 

❓ If you see an error related to RPCs, please try again at a later point - the Snapshot team is working on fixing this issue. The proposal will close in 3 days.

🎗️ Reminder: You need to have staked STG prior to the Snapshot going live. If your voting power is 0, you may have delegated to another space in Snapshot, and will not be eligible for this vote. You will need to undelegate if you wish to vote on the next proposal.",1,changes in tokenomics,
Stargate Finance,Discord,"@everyone

Reminder to migrate your LP Tokens on Arbitrum (if you have any) to the new Farm contract. You will get prompted to do so on https://stargate.finance/farm. 

More information below 👇 
https://x.com/StargateFinance/status/1699597681365275002?s=20\",1,technical update,
Stargate Finance,Discord,"@everyone

📜 Two new proposals have been posted to Snapshot. The first is regarding Lowering TheAptosBridge block confirmations and adding fees. The second one is regarding the Foundation 12-month budget.

🖨️ Vote on Snapshot:
Lower TheAptosBridge Block Confirmations and Add Fees. Check out the discussion here: ⁠Unknown 
https://snapshot.org/#/stgdao.eth/proposal/0x3ab405d7d396f0b3bf04b966dd12b06ad5e81d3cf583eda8b890f2d744a98693

This proposal will be live until Thursday, September 7, 2023 4:50 PM.

Stargate Foundation 12-month Budget Proposal. Check out the discussion here: ⁠Unknown 
https://snapshot.org/#/stgdao.eth/proposal/0x2eff53c9e9f0bf19a98345d1d32103ec0ec859d81978eecacb38db16be33b94b

This proposal will be live until Thursday, September 7, 2023 5:05 PM.

❓ If you see the an error related to RPCs, please try again at a later point.

🎗️ Reminder: You need to have staked STG prior to the Snapshot going live. If your voting power is 0, you may have delegated to another space in Snapshot, and will not be eligible for this vote. You will need to undelegate if you wish to vote on the next proposal. 
",1,changes in tokenomics,
Stargate Finance,Discord,"@everyone

Stargate is excited to announce its deployment to a new chain: Kava!

You can now access native USDT on Kava!

Bridge to and from all of the supported networks below at: https://stargate.finance/transfer

Kava is the first Cosmos-EVM interoperable chain to secure native USDT, meaning users can now access native USDT within the Cosmos ecosystem safely and efficiently using Stargate. Protocols built on top of Stargate are also now able to provide single-click cross-chain experiences into and out of Kava.

https://twitter.com/StargateFinance/status/1696217067857527044",1,new product and functions,
